"Region" "Revenue_Millions" "Employee_Count" "Market_Share_Percentage" "Satisfaction_Rating" "Years_in_Business"
"South" "169,41" 966 "4,8" 4 36
"West" "200,45" 690 "15,64" 3 27
"East" "142,96" 170 "48,98" 2 17
"North" "416,08" 589 "8,85" 2 9
"South" "184,81" 810 "0,96" 4 33
"West" "147,66" 407 "38,19" 2 20
"North" "275,92" 286 "40,36" 2 13
"West" "79,05" 825 "17,38" 1 28
"West" "403,08" 925 "23,29" 4 48
"South" "46,53" 513 "32,52" 3 29
"North" "493,57" 905 "2,5" 5 13
"West" "388,4" 401 "47,46" 5 46
"East" "107,37" 144 "44,35" 1 35
"East" "12,71" 204 "13,12" 4 6
"North" "409,58" 410 "0,86" 3 18
"South" "356,36" 649 "46,68" 1 5
"West" "367,21" 42 "25,1" 3 47
"East" "387,92" 697 "27,01" 3 25
"North" "46,28" 469 "34,23" 1 2
"North" "185,65" 964 "30,83" 2 10
"East" "66,78" 892 "47,2" 1 30
"East" "432,92" 479 "47,22" 2 45
"East" "315,42" 384 "43,37" 2 5
"South" "172,14" 31 "31,86" 3 33
"East" "41,14" 759 "40,07" 3 1
"South" "162,38" 679 "33,89" 2 18
"West" "169,34" 47 "28,71" 5 32
"North" "367,51" 239 "6,51" 5 47
"South" "322,4" 374 "40,58" 3 49
"West" "444,73" 572 "41,05" 4 11
"West" "241,39" 447 "31,33" 3 21
"North" "68,6" 785 "41,04" 5 26
"North" "359,49" 292 "32,61" 1 25
"East" "382,78" 36 "10,41" 5 22
"East" "285,03" 235 "13,77" 2 27
"South" "387,77" 286 "10,81" 5 49
"East" "251,96" 807 "18,93" 4 13
"South" "266,14" 618 "2,04" 1 33
"South" "219,5" 293 "30,95" 2 34
"East" "22,46" 888 "16,89" 2 41
"West" "62,87" 969 "32,82" 2 35
"East" "25,4" 490 "19,33" 4 1
"North" "321,84" 462 "34,11" 5 21
"West" "164,03" 838 "17,1" 3 48
"West" "259,2" 825 "13,11" 2 6
"West" "454,71" 668 "24,85" 5 28
"South" "132,15" 525 "34,68" 1 17
"South" "211,09" 556 "17,48" 4 5
"North" "380,22" 201 "46,84" 5 31
"North" "122,11" 58 "2,06" 1 5
"East" "47,72" 521 "20,96" 2 38
"East" "151,98" 26 "48,38" 1 3
"West" "89" 181 "27,44" 5 23
"West" "465,55" 229 "21,23" 1 37
"East" "405,98" 167 "28,47" 3 37
"North" "320,37" 486 "28,84" 4 10
"East" "437,02" 55 "36,61" 3 10
"West" "403,8" 382 "6,47" 1 19
"East" "101,42" 527 "12,58" 5 17
"North" "447,35" 108 "29,07" 4 21
"South" "274,28" 901 "43,37" 1 14
"North" "405,65" 754 "28,14" 1 9
"West" "449,08" 46 "12,01" 2 46
"West" "165,82" 289 "34,02" 3 1
"West" "63,93" 358 "37,02" 3 45
"East" "121,69" 506 "11,99" 1 13
"South" "219,28" 311 "18,95" 2 4
"North" "410,83" 190 "26,76" 5 1
"South" "431,76" 616 "24,88" 5 49
"West" "13,41" 108 "19,54" 1 40
"West" "260,27" 709 "14,95" 2 32
"North" "214,53" 125 "5,09" 4 34
"North" "118,83" 200 "2,77" 4 28
"East" "68,73" 262 "47,93" 2 31
"North" "175,43" 990 "42,37" 3 8
"East" "472,03" 937 "17,81" 5 39
"West" "168,37" 992 "47,84" 5 26
"West" "264,21" 170 "33,87" 4 34
"East" "354,48" 265 "24,18" 5 3
"North" "188,18" 332 "24,7" 2 12
"East" "486,17" 137 "4,26" 1 1
"West" "481,6" 27 "4,68" 4 44
"North" "133,37" 802 "30,16" 1 5
"East" "253,65" 744 "27,73" 3 30
"East" "157,43" 575 "10,72" 1 30
"West" "149,57" 579 "47,32" 5 17
"West" "28,07" 332 "39,09" 4 48
"West" "308,69" 881 "5,76" 3 47
"East" "256,31" 695 "46,55" 4 23
"East" "35,22" 801 "48,71" 4 15
"South" "146,54" 635 "49,8" 2 37
"East" "455,05" 297 "2,89" 1 21
"South" "127,39" 952 "36,88" 4 14
"West" "81" 863 "27,34" 2 2
"South" "249,83" 672 "35,32" 1 11
"North" "492,97" 971 "48,44" 3 39
"North" "128,61" 648 "34,43" 1 38
"North" "339,35" 164 "41,86" 5 34
"East" "383,19" 499 "43,36" 2 38
"East" "126,44" 395 "41,94" 5 34
"North" "366,83" 995 "21,36" 5 18
"East" "190,21" 794 "11,21" 2 30
"North" "319,83" 113 "19,89" 4 15
"North" "320,43" 938 "44,61" 2 27
"North" "272,53" 402 "7,42" 2 34
"South" "54,24" 820 "25,71" 1 38
"East" "419,3" 255 "11,74" 4 33
"South" "167,18" 185 "29,11" 2 24
"South" "101,39" 48 "43,17" 3 15
"East" "29,98" 486 "44,03" 4 30
"East" "299,54" 691 "11,91" 5 42
"West" "342,01" 768 "45,39" 2 17
"East" "18,13" 547 "29,64" 1 5
"North" "260,93" 876 "17,58" 5 29
"South" "120,98" 827 "35,44" 2 4
"South" "326,13" 930 "24,14" 3 10
"North" "95,44" 417 "18,96" 5 17
"East" "348,56" 534 "35,28" 1 10
"South" "199,5" 837 "12,51" 3 17
"South" "469" 515 "16,58" 2 20
"West" "77,39" 912 "21,78" 4 24
"North" "177,12" 834 "12,76" 3 5
